date,market_id,source_platform,market_prob,model_prob,edge,stake,outcome,pnl
2026-01-01,synthetic-0-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,yes,0.0
2026-01-01,synthetic-0-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,yes,4344.444444444444
2026-01-01,synthetic-0-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,no,-100.0
2026-01-01,synthetic-0-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,no,-100.0
2026-01-01,synthetic-0-4,synthetic-polymarket,0.06,0.075,0.015,100.0,no,0.0
2026-01-01,synthetic-0-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,yes,1279.3103448275863
2026-01-01,synthetic-0-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,yes,1076.4705882352941
2026-01-01,synthetic-0-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,no,-100.0
2026-01-02,synthetic-1-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,yes,0.0
2026-01-02,synthetic-1-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,no,-100.0
2026-01-02,synthetic-1-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,no,-100.0
2026-01-02,synthetic-1-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,no,-100.0
2026-01-02,synthetic-1-4,synthetic-polymarket,0.06,0.075,0.015,100.0,yes,0.0
2026-01-02,synthetic-1-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,yes,1279.3103448275863
2026-01-02,synthetic-1-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,no,-100.0
2026-01-02,synthetic-1-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,no,-100.0
2026-01-03,synthetic-2-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,no,0.0
2026-01-03,synthetic-2-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,no,-100.0
2026-01-03,synthetic-2-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,no,-100.0
2026-01-03,synthetic-2-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,yes,2005.2631578947367
2026-01-03,synthetic-2-4,synthetic-polymarket,0.06,0.075,0.015,100.0,yes,0.0
2026-01-03,synthetic-2-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,no,-100.0
2026-01-03,synthetic-2-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,no,-100.0
2026-01-03,synthetic-2-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,no,-100.0
2026-01-04,synthetic-3-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,no,0.0
2026-01-04,synthetic-3-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,no,-100.0
2026-01-04,synthetic-3-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,yes,2757.142857142857
2026-01-04,synthetic-3-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,yes,2005.2631578947367
2026-01-04,synthetic-3-4,synthetic-polymarket,0.06,0.075,0.015,100.0,no,0.0
2026-01-04,synthetic-3-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,no,-100.0
2026-01-04,synthetic-3-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,no,-100.0
2026-01-04,synthetic-3-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,yes,925.6410256410256
2026-01-05,synthetic-4-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,no,0.0
2026-01-05,synthetic-4-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,yes,4344.444444444444
2026-01-05,synthetic-4-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,yes,2757.142857142857
2026-01-05,synthetic-4-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,no,-100.0
2026-01-05,synthetic-4-4,synthetic-polymarket,0.06,0.075,0.015,100.0,no,0.0
2026-01-05,synthetic-4-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,no,-100.0
2026-01-05,synthetic-4-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,yes,1076.4705882352941
2026-01-05,synthetic-4-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,yes,925.6410256410256
2026-01-06,synthetic-5-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,yes,0.0
2026-01-06,synthetic-5-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,yes,4344.444444444444
2026-01-06,synthetic-5-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,no,-100.0
2026-01-06,synthetic-5-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,no,-100.0
2026-01-06,synthetic-5-4,synthetic-polymarket,0.06,0.075,0.015,100.0,no,0.0
2026-01-06,synthetic-5-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,yes,1279.3103448275863
2026-01-06,synthetic-5-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,yes,1076.4705882352941
